Publisher Name,Publisher Registry Id,Transaction - Commitment (with valid data),Transaction - Disbursement or Expenditure (with valid data),Transaction - Traceability (with valid data),Budget (with valid data),Average (with valid data),Transaction - Commitment (with any data),Transaction - Disbursement or Expenditure (with any data),Transaction - Traceability (with any data),Budget (with any data),Average (with any data)
3F International,3fi,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
50 Eight Limited,fifty_eight,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
60 Decibels,60db,-,-,-,-,0.0,-,-,-,-,0.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,0.0,50.0,0.0,100.0,37.5,0.0,50.0,0.0,100.0,37.5
Aasaman Nepal,aasaman,-,-,-,-,0.0,-,-,-,-,0.0
ABAAD - Resource Center for Gender Equality,arcfge,-,-,-,-,0.0,-,-,-,-,0.0
Abaseen Foundation UK,abaseen,-,-,-,-,0.0,-,-,-,-,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,50.0,50.0,100.0,100.0,75.0,50.0,50.0,100.0,100.0,75.0
Able Child Africa,ablechildafrica,-,-,-,-,0.0,-,-,-,-,0.0
Abt Associates Inc,abt,50.0,100.0,0.0,50.0,50.0,50.0,100.0,0.0,100.0,62.5
Abt Britain Limited,abtbritain,0.0,100.0,50.0,100.0,62.5,0.0,100.0,50.0,100.0,62.5
Acacia Water,aw,-,-,-,-,0.0,-,-,-,-,0.0
Academy for Health Development (AHEAD),ahead,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Académie de recherche et d'enseignement supérieur,ares,100.0,90.60402684563759,100.0,90.60402684563759,95.30201342281879,100.0,90.60402684563759,100.0,90.60402684563759,95.30201342281879
Accelerator Nepal,acceleratornepal,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Access to Medicine Foundation,atmf,-,-,-,-,0.0,-,-,-,-,0.0
Access to Seeds Foundation,atsf,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
ACCORD,accord_2024,-,-,-,-,0.0,-,-,-,-,0.0
Accountability Lab,alab,50.0,50.0,100.0,100.0,75.0,50.0,50.0,100.0,100.0,75.0
Accountable Now,accountablenow,-,-,-,-,0.0,-,-,-,-,0.0
"Aceli Africa, Inc.",aceliafrica,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Acid Survivors Foundation,_admin,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
ACODEV,acodev,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Across,across,-,-,-,-,0.0,-,-,-,-,0.0
ACT Alliance,act_alliance,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
act4africa,act4africa,-,-,-,-,0.0,-,-,-,-,0.0
ACTED,acted,0.0,0.0,50.0,50.0,25.0,0.0,0.0,50.0,50.0,25.0
ACTION AGAINST HUNGER SPAIN,acfspain,90.0,100.0,60.0,100.0,87.5,90.0,100.0,60.0,100.0,87.5
Action Against Hunger UK,acf,0.0,96.96969696969697,15.0,100.0,52.99242424242424,0.0,96.96969696969697,15.0,100.0,52.99242424242424
Action Against Hunger USA,aahusa,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Action Aid Cambodia,aac,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Action Canada for Sexual Health and Rights,acfshr,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Action Contre la Faim,acf-fr,0.0,20.0,50.0,100.0,42.5,0.0,20.0,50.0,100.0,42.5
ActionAid Bangladesh,aab,71.42857142857143,100.0,0.0,100.0,67.85714285714286,71.42857142857143,100.0,0.0,100.0,67.85714285714286
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,6.666666666666667,100.0,100.0,66.66666666666666,68.33333333333334,6.666666666666667,100.0,100.0,66.66666666666666,68.33333333333334
ActionAid Ghana,aag,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid International,aai,-,-,-,-,0.0,-,-,-,-,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
ActionAid International Nepal,aain,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid Rwanda,aar,-,-,-,-,0.0,-,-,-,-,0.0
ActionAid UK,aauk,78.04878048780488,100.0,24.324324324324326,97.5609756097561,74.98352010547133,78.04878048780488,100.0,24.324324324324326,97.5609756097561,74.98352010547133
Acumen,acumen,0.0,50.0,0.0,100.0,37.5,0.0,50.0,0.0,100.0,37.5
ACV-CSC International,iiwe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Adam Smith International,asi,0.0,100.0,5.263157894736842,100.0,51.315789473684205,0.0,100.0,5.263157894736842,100.0,51.315789473684205
